song,artist,year,meter,cluster15
IWishItWouldRain,TheTemptations,1968,4/4,10
CountryRoad,JamesTaylor,1971,4/4,12
HoneyHoney,ABBA,1974,4/4,4
TillTheEndOfTheDay,TheKinks,1966,4/4,5
TeachYourChildren,"Crosby,Stills&Nash",1970,4/4,4
GirlYouKnowItsTrue,MilliVanilli,1989,4/4,5
IfNotYou,Dr.Hook,1977,4/4,6
SweetCaroline(GoodTimesNeverSeemedSoGood),BobbyWomack,1972,4/4,4
ALoveSong,AnneMurray,1974,4/4,2
HotInTheCity,BillyIdol,1982,4/4,14
TheBestDiscoInTown,TheRitchieFamily,1976,4/4,6
Perfidia,TheVentures,1960,4/4,0
"OutOfSight,OutOfMind",LittleAnthony&TheImperials,1969,4/4,9
MonyMony,TommyJames,1968,4/4,4
DirtyWater,RockAndHyde,1987,4/4,10
TreatHerLikeALady,CorneliusBrothers&SisterRose,1971,4/4,8
EleanorRigby,RayCharles,1968,4/4,3
CryLikeABaby,TheBoxTops,1968,4/4,10
LikeARock,BobSeger,1986,4/4,3
IFoundATrueLove,WilsonPickett,1968,4/4,4
StartingOverAgain,DollyParton,1980,4/4,9
RidersOnTheStorm,TheDoors,1971,4/4,5
ISecondThatEmotion,TheMiracles,1968,4/4,10
Fakinit,Simon&Garfunkel,1967,4/4,11
TheTwist,ChubbyChecker,1962,4/4,10
AllIEverNeedIsYou,Sonny&Cher,1971,4/4,11
Feelin'Satisfied,Boston,1979,4/4,12
EyeInTheSky,TheAllanParsonsProject,1982,4/4,5
MissYou,TheRollingStones,1978,4/4,3
TakeAChanceOnMe,Abba,1978,4/4,6
TheStroke,BillySquier,1981,4/4,5
HelloHello,TheSopwithCamel,1967,4/4,4
SweetSoulMusic,ArthurConley,1967,4/4,10
Breezin',GeorgeBenson,1976,4/4,0
ComingOnStrong,BrendaLee,1966,4/4,6
Don'tAskMeWhy,BillyJoel,1980,4/4,11
ModernLove,DavidBowie,1983,4/4,3
LittleTooLate,PatBenatar,1983,4/4,13
Kokomo(FromTheCocktailSoundtrack),TheBeachBoys,1988,4/4,0
TheLookOfLove,IsaacHayes,1971,4/4,5
KarmaChameleon,CultureClub,1984,4/4,11
Venus,Bananarama,1986,4/4,4
HelloStranger,BarbaraLewis,1963,4/4,2
DancingMachine,TheJacksons,1974,4/4,8
YouMakeMeFeelLikeDancing,LeoSayer,1977,4/4,0
ShapesOfThings,TheYardbirds,1966,4/4,7
TheBitchIsBack,EltonJohn,1974,4/4,4
Nightshift,TheCommodores,1985,4/4,6
ThereGoesMyEverything,ElvisPresley,1971,3/4,4
Gloria,LauraBranigan,1982,4/4,4
Freeze-Frame,J.GeilsBand,1982,4/4,12
BabyComeBack,Player,1978,4/4,12
ThreeHeartsInATangle,RoyDrusky,1961,3/4,4
TheMillionaire,Dr.Hook,1975,4/4,9
IDroveAllNight,CyndiLauper,1989,4/4,10
AllThisTime,Sting,1991,4/4,4
TimeWillReveal,Debarge,1984,4/4,11
PlayThatFunkyMusic,WildCherry,1976,4/4,3
InTheMidnightHour,WilsonPickett,1965,4/4,10
TheArmsOfOrion,Prince&SheenaEaston,1989,6/8,4
HeyYou!GetOffMyMountain,TheDramatics,1973,4/4,7
SoulDanceNumber3,WilsonPickett,1967,4/4,4
BabyWhatYouWantMeToDo,JimmyReed,1960,4/4,4
Lucky,GregKihn,1985,4/4,5
WeDontNeedAnotherHero(Thunderdome),TinaTurner,1985,4/4,7
DownAndOutInNewYorkCity,JamesBrown,1973,4/4,10
Goin'Back,TheByrds,1967,4/4,13
SugarMagnolia,TheGreatfulDead,1973,4/4,4
TownWithout,GenePitney,1961,12/8,13
GirlImGonnaMissYou,MilliVanilli,1989,4/4,7
LayDownSally,EricClapton,1978,4/4,13
ItKeepsRightOnA-Hurtin',JohnnyTillotson,1962,4/4,4
OhMeOhMy(I'mAFoolForYouBaby),ArethaFranklin,1972,4/4,13
IsThereSomethingIShouldKnow,DuranDuran,1983,4/4,3
I'vePassedThisWayBefore,JimmyRuffin,1967,4/4,13
CountOnMe,JeffersonStarship,1978,4/4,9
Jamie,EddieHolland,1962,4/4,6
HookedOnAFeeling,B.J.Thomas,1968,4/4,4
MyKindaLover,BillySquier,1982,4/4,7
AnotherBrickInTheWall(PartII),PinkFloyd,1980,4/4,3
Heartbreaker,PatBenatar,1980,4/4,5
IWalkAlone,MartyRobbins,1968,12/8,4
MyWishCameTrue,ElvisPresley,1959,4/4,9
AfterTheLoveHasGone,"Earth,Wind&Fire",1979,4/4,1
Ain'tNoSunshine,BillWithers,1971,4/4,10
I'veBeenEverywhere,HankSnow,1962,6/8,4
BestOfMyLove,Eagles,1975,4/4,2
TuffEnuff,TheFabulousThunderbirds,1986,4/4,8
ThisLittleGirl,Dion,1963,4/4,6
SadEyes,RobertJohn,1979,4/4,3
MyHometown,BruceSpringsteen,1985,4/4,4
MustOfGotLost,TheJ.GeilsBand,1974,4/4,10
EveryTimeIThinkOfYou,TheBabys,1979,4/4,3
RockAndRollNeverForgets,BobSeger,1977,4/4,4
BeMyGuest,FatsDomino,1959,4/4,4
DevilWoman,CliffRichard,1976,4/4,5
CanWeStillBeFriends,ToddRundgren,1978,4/4,5
There'llNeverBe,Switch,1978,4/4,11
TakeMeDown,Alabama,1982,4/4,4
MakeMeSmile,Chicago,1970,4/4,12
Don'tLeaveMeThisWay,ThelmaHouston,1977,4/4,5
ThereButForFortune,JoanBaez,1965,4/4,11
WhoWillYouRunTo,Heart,1987,4/4,10
There'sNoOther(LikeMyBaby),TheCrystals,1961,12/8,6
Look-KaPyPy,TheMeters,1970,4/4,5
(Iwas)BornToCry,Dion,1962,4/4,4
RockThisTown,StrayCats,1982,4/4,7
WhatYouSeeIsWhatYouGet,TinaTurner,1987,4/4,13
BustAMove,YoungMC,1990,4/4,8
"Ob-La-Di,Ob-La-Da",TheBeatles',1976,4/4,4
Reelin'&Rockin',ChuckBerry,1972,4/4,4
LandOf1000Dances,ChrisKenner,1963,4/4,4
NeverKnewLoveLikeThisBefore,StephanieMills,1980,4/4,11
LonelyWeekends,CharlieRich,1960,4/4,3
WichitaLineman,GlenCampbell,1969,4/4,10
EbonyEyes,TheEverlyBrothers,1961,3/4,4
FunnyGirl,BarbraStreisand,1964,4/4,11
WillTheWolfSurvive,LosLobos,1985,4/4,10
AHazyShadeOfWinter,SimonAndGarfunel,1966,4/4,5
CarryMe,"DavidCrosby,GrahamNash",1975,4/4,7
TreatHerRight,RoyHead,1965,4/4,10
InvisibleTouch,Genesis,1986,4/4,6
OneLessBellToAnswer,The5thDimension,1971,4/4,3
MightyGoodLovin',TheMiracles,1961,4/4,4
LovingHerWasEasier,KrisKristofferson,1971,4/4,3
TornBetweenTwoLovers,MaryMacGregor,1976,4/4,0
AreYouSureHankDoneItThisWay,WaylonJennings,1975,4/4,3
OhFather,Madonna,1990,4/4,12
TalkBackTremblingLips,JohnnyTillotson,1963,4/4,9
HardDaysNight,TheBeatles,1964,4/4,4
ILoveARainyNight,EddieRabbitt,1981,4/4,13
TellMeWhatYouWantMeToDo,TevinCampbell,1991,4/4,7
"Abraham,MartinAndJohn",Dion,1968,4/4,10
ACowboy'sWorkIsNeverDone,Sonny&Cher,1972,4/4,7
IDontWantYourLove,DuranDuran,1989,4/4,12
GoingToChicagoBlues,CountBasie,1958,4/4,4
TheSoundsOfSilence,Simon&Garfunkel,1965,4/4,7
ThinkOfMe,BuckOwens,1966,4/4,13
RunningOnEmpty,JacksonBrowne,1978,4/4,10
IGotStripes,JohnnyCash,1959,4/4,7
Daddy'sHome,CliffRichard,1982,4/4,0
MyLove,PaulMcCartney&Wings,1973,4/4,11
TenPercent,DoubleExposure,1976,4/4,9
RebelYell,BillyIdol,1984,4/4,5
OdeToBillieJoe,BobbieGentry,1976,4/4,3
"RightHere,RightNow",JesusJones,1991,4/4,4
SummertimeBlues,BlueCheer,1968,4/4,1
NightMoves,BobSeger,1977,4/4,5
LiveToTell,Madonna,1986,4/4,5
HappyAnniversary,LittleRiverBand,1978,4/4,3
AgainstTheWind,BobSeger,1980,4/4,10
IWantYouBack,TheJacksons,1969,4/4,9
LuckyMan,"Emerson,Lake&Palmer",1971,4/4,7
Kicks,PaulRevere&TheRaiders,1966,4/4,1
MyWorldFellDown,Sagittarius,1967,4/4,10
ManInTheMirror,MichaelJackson,1988,4/4,10
OnlySixteen,Dr.Hook,1976,4/4,0
StandingInTheShadowsOfLove,FourTops,1967,4/4,4
She'sAWoman,TheBeatles,1964,4/4,10
TheYearThatClaytonDelaneyDied,TomT.Hall,1971,4/4,4
IWon'tStandInYourWay,StrayCats,1983,12/8,5
EchoesOfLove,TheDoobieBrothers,1977,4/4,13
ThreeTimesALady,TheCommodores,1978,3/4,14
IslandOfLostSouls,Blondie,1982,4/4,6
EvenNow,BobSeger,1983,4/4,13
LoversWhoWander,Dion,1962,4/4,6
YouDon'tOwnMe,LesleyGore,1964,4/4,6
BabyDon'tGo,Sonny&Cher,1965,4/4,3
IDon'tWantToSpoilTheParty,TheBeatles,1965,4/4,9
BehindClosedDoors,CharlieRich,1973,4/4,2
GetReady,RareEarth,1970,4/4,3
I'llTumble4Ya,CultureClub,1983,4/4,2
I'veGotATigerByTheTail,BuckOwens,1965,4/4,13
SaturdayNight,BayCityRollers,1975,4/4,6
HeavenMustHaveSentYou,BonniePointer,1979,4/4,14
Amanda,Boston,1986,4/4,4
WillYouLoveMeTomorrow,TheShirelles,1961,4/4,6
AliveAgain,Chicago,1978,4/4,4
Help!,TheBeatles,1965,4/4,1
PaperRoses,MarieOsmond,1973,4/4,0
HappyMan,GregKihnBand,1982,4/4,7
20-75,WillieMitchell,1964,4/4,9
That'sOldFashioned(That'sTheWayLoveShouldBe),TheEverlyBrothers,1962,4/4,9
Rock'nMe,SteveMillerBand,1976,4/4,3
AllAloneAmI,BrendaLee,1962,6/8,9
Abacab,Genesis,1982,4/4,5
Lovin'You,MinnieRiperton,1975,4/4,3
Lady,KennyRogers,1980,4/4,13
ElCondorPasa,Simon&Garfunkel,1970,4/4,3
IfIWereACarpenter,BobbyDarin,1966,4/4,12
"RockandRoll,HoochieKoo",RickDerringer,1974,4/4,8
Frankenstein,EdgarWinter,1973,4/4,4
WhoWearsTheseShoes,EltonJohn,1984,4/4,4
Lambada,Kaoma,1990,4/4,5
SidewalkSurfin',Jan&Dean,1964,4/4,8
WeDon'tTalkAnymore,CliffRichard,1979,4/4,14
BabyDontForgetMyNumber,MilliVanilli,1989,4/4,3
AmericanStorm,BobSeger,1986,4/4,2
LetTheMusicPlay,Shannon,1984,4/4,5
WhenIt'sLove,VanHalen,1988,4/4,8
CrackerboxPalace,GeorgeHarrison,1977,4/4,10
UpsideDown,DianaRoss,1980,4/4,8
Sukiyaki,ATasteOfHoney,1981,4/4,10
JohnnyReb,JohnnyHorton,1959,4/4,4
ThereSheGoes,TheLas,1991,4/4,7
HappyTogether,TheTurtles,1967,4/4,5
He'sSoFine,TheChiffons,1963,4/4,2
