song,artist,year
IWantYouBack,TheJacksons,1969
LuckyMan,"Emerson,Lake&Palmer",1971
Kicks,PaulRevere&TheRaiders,1966
MyWorldFellDown,Sagittarius,1967
ManInTheMirror,MichaelJackson,1988
OnlySixteen,Dr.Hook,1976
StandingInTheShadowsOfLove,FourTops,1967
She'sAWoman,TheBeatles,1964
TheYearThatClaytonDelaneyDied,TomT.Hall,1971
IWon'tStandInYourWay,StrayCats,1983
EchoesOfLove,TheDoobieBrothers,1977
ThreeTimesALady,TheCommodores,1978
IslandOfLostSouls,Blondie,1982
EvenNow,BobSeger,1983
LoversWhoWander,Dion,1962
YouDon'tOwnMe,LesleyGore,1964
BabyDon'tGo,Sonny&Cher,1965
IDon'tWantToSpoilTheParty,TheBeatles,1965
BehindClosedDoors,CharlieRich,1973
GetReady,RareEarth,1970
I'llTumble4Ya,CultureClub,1983
I'veGotATigerByTheTail,BuckOwens,1965
SaturdayNight,BayCityRollers,1975
HeavenMustHaveSentYou,BonniePointer,1979
Amanda,Boston,1986
WillYouLoveMeTomorrow,TheShirelles,1961
AliveAgain,Chicago,1978
Help!,TheBeatles,1965
PaperRoses,MarieOsmond,1973
HappyMan,GregKihnBand,1982
20-75,WillieMitchell,1964
That'sOldFashioned(That'sTheWayLoveShouldBe),TheEverlyBrothers,1962
Rock'nMe,SteveMillerBand,1976
AllAloneAmI,BrendaLee,1962
Abacab,Genesis,1982
Lovin'You,MinnieRiperton,1975
Lady,KennyRogers,1980
ElCondorPasa,Simon&Garfunkel,1970
IfIWereACarpenter,BobbyDarin,1966
"RockandRoll,HoochieKoo",RickDerringer,1974
Frankenstein,EdgarWinter,1973
WhoWearsTheseShoes,EltonJohn,1984
Lambada,Kaoma,1990
SidewalkSurfin',Jan&Dean,1964
WeDon'tTalkAnymore,CliffRichard,1979
BabyDontForgetMyNumber,MilliVanilli,1989
AmericanStorm,BobSeger,1986
LetTheMusicPlay,Shannon,1984
WhenIt'sLove,VanHalen,1988
CrackerboxPalace,GeorgeHarrison,1977
UpsideDown,DianaRoss,1980
Sukiyaki,ATasteOfHoney,1981
JohnnyReb,JohnnyHorton,1959
ThereSheGoes,TheLas,1991
HappyTogether,TheTurtles,1967
He'sSoFine,TheChiffons,1963
